"Tag","Name","# lines","Ver.","Catalog","Documentation","Date of entry","Entry in cm-1"
"046523","29Si17O, v = 0 - 2","317","1*","HTML | ASCII","e046523.cat","Feb. 2014",""
"046524","C2H5OH","69527","1*","HTML | ASCII","e046524.cat","Nov. 2016",""
"046525","DOCO+","946","1*","HTML | ASCII","e046525.cat","July 2017",""
"046526","HO13CO+","923","1*","HTML | ASCII","e046526.cat","July 2017",""
"046527","NS+","39","1*","HTML | ASCII","e046527.cat","Feb. 2018",""
"046528","AlF v = 0 - 5","473","1*","HTML | ASCII","e046528.cat","Jan. 2019",""
"046529","DSC","1829","1*","HTML | ASCII","e046529.cat","Nov. 2022",""
"046530","HS13C","1797","1*","HTML | ASCII","e046530.cat","Nov. 2022",""
"046531","DCS","177","1*","HTML | ASCII","e046531.cat","Dec. 2022",""
"046532","H13CS","68","1*","HTML | ASCII","e046532.cat","Dec. 2022",""
"046533","2,2-c-CD2CH2O","23566","1*","HTML | ASCII","e046533.cat","Apr 2023",""
"046534","CHD2CHO, vt = 0","8679","1*","HTML | ASCII","e046534.cat","Sep. 2023",""
"046535","H2CS v4 = 1","1320","1*","HTML | ASCII","e046535.cat","Oct. 2023",""
"046536","H2CS v6 = 1","1211","1*","HTML | ASCII","e046536.cat","Oct. 2023",""
"046537","H2CS v3 = 1","1213","1*","HTML | ASCII","e046537.cat","Oct. 2023",""
"046538","H2CS v2 = 1","917","1*","HTML | ASCII","e046538.cat","Oct. 2023",""
"046539","H2CS ν4 IR band","5221","1*","HTML | ASCII","e046539.cat","Oct. 2023",""
"046540","H2CS ν6 IR band","5033","1*","HTML | ASCII","e046540.cat","Oct. 2023",""
"046541","H2CS ν3 IR band","3203","1*","HTML | ASCII","e046541.cat","Oct. 2023",""
"046542","H2CS ν2 IR band","1794","1*","HTML | ASCII","e046542.cat","Oct. 2023",""
"047501","13C34S","75","2","HTML | ASCII","e047501.cat","Jan. 2004",""
"047502","HC34S+","62","1","HTML | ASCII","e047502.cat","June 2003",""
"047503","t-H13COOH","6834","1","HTML | ASCII","e047503.cat","July 2003",""
"047504","HDCS","1820","2*","HTML | ASCII","e047504.cat","Jan. 2019",""
"047505","H213CS","1975","2*","HTML | ASCII","e047505.cat","Jan. 2019",""
"047506","H2C33S","7117","2*","HTML | ASCII","e047506.cat","Jan. 2019",""
"047507","PO, v = 0","659","2*","HTML | ASCII","e047507.cat","Oct. 2019",""
"047508","HC(18O)NH2","6666","1*","HTML | ASCII","e047508.cat","May 2009",""
"047509","N33S","1860","1*","HTML | ASCII","e047509.cat","Aug. 2011",""
"047510","15NS","364","1*","HTML | ASCII","e047510.cat","Aug. 2011",""
"047511","a-CH313CH2OH","2556","1*","HTML | ASCII","e047511.cat","Aug. 2012",""
"047512","a-13CH3CH2OH","2558","1*","HTML | ASCII","e047512.cat","Aug. 2012",""
"047513","29Si18O, v = 0 - 3","442","1*","HTML | ASCII","e047513.cat","Jan. 2014",""
"047514","30Si17O, v = 0 - 2","318","1*","HTML | ASCII","e047514.cat","Feb. 2014",""
"047515","a-CH3CH2OD","3088","1*","HTML | ASCII","e047515.cat","Aug. 2015",""
