"Tag","Name","# lines","Ver.","Catalog","Documentation","Date of entry","Entry in cm-1"
"055502","C2H5CN, v = 0","39010","2*","HTML | ASCII","e055502.cat","Aug. 2009",""
"055503","CCP","922","2*","HTML | ASCII","e055503.cat","Apr. 2009",""
"055504","C3F","242","1*","HTML | ASCII","e055504.cat","Sep. 2011",""
"055505","HSiCN","862","1*","HTML | ASCII","e055505.cat","Sep. 2013",""
"055506","HSiNC","717","1*","HTML | ASCII","e055506.cat","Sep. 2013",""
"055507","C2H5NC","18963","1*","HTML | ASCII","e055507.cat","May 2018",""
"055508","NaS","320","1*","HTML | ASCII","e055508.cat","Aug. 2018",""
"055509","HCCCH2NH2","11372","1*","HTML | ASCII","e055509.cat","Sep. 2019",""
"055510","c-HDC3O","2088","1*","HTML | ASCII","e055510.cat","Feb. 2021",""
"055511","c-H2C213CO","1758","1*","HTML | ASCII","e055511.cat","Feb. 2021",""
"055512","c-H213CCCO","1850","1*","HTML | ASCII","e055512.cat","Feb. 2021",""
"055513","C2H5CN, v20 = 1-A","20766","1*","HTML | ASCII","e055513.cat","Oct. 2016",""
"055514","C2H5CN, v12 = 1-A","18271","1*","HTML | ASCII","e055514.cat","Oct. 2016",""
"055515","DCCCHO","3979","1*","HTML | ASCII","e055515.cat","Mar. 2018",""
"055516","HCCCDO","58","1*","HTML | ASCII","e055516.cat","Mar. 2018",""
"055517","HCC13CHO","29","1*","HTML | ASCII","e055517.cat","Mar. 2018",""
"055518","HC13CCHO","29","1*","HTML | ASCII","e055518.cat","Mar. 2018",""
"055519","H13CCCHO","29","1*","HTML | ASCII","e055519.cat","Mar. 2018",""
"055520","Allylimine-Ta","13438","1*","HTML | ASCII","e055520.cat","Oct. 2023",""
"056501","HCCP","1738","1","HTML | ASCII","e056501.cat","May 1998",""
"056502","CCS","449","1","HTML | ASCII","e056502.cat","Nov. 2001",""
"056503","ONCN","1911","1","HTML | ASCII","e056503.cat","Aug. 2003",""
"056504","C2H513CN, v = 0","23807","2*","HTML | ASCII","e056504.cat","Feb. 2013",""
"056505","CH313CH2CN, v = 0","24132","2*","HTML | ASCII","e056505.cat","Feb. 2013",""
"056506","13CH3CH2CN, v = 0","24102","2*","HTML | ASCII","e056506.cat","Feb. 2013",""
"056507","H2NCH2CN, v = 0","16925","3*","HTML | ASCII","e056507.cat","Oct. 2020",""
"056508","C2H5C15N","16405","1*","HTML | ASCII","e056508.cat","Feb. 2009",""
"056509","CH3CHDCN","16939","1*","HTML | ASCII","e056509.cat","Feb. 2009",""
"056510","CH2DipCH2CN","16566","1*","HTML | ASCII","e056510.cat","Feb. 2009",""
"056511","CH2DoopCH2CN","16915","1*","HTML | ASCII","e056511.cat","Feb. 2009",""
"056512","13CCP","1830","1*","HTML | ASCII","e056512.cat","Apr. 2009",""
"056513","C13CP","1923","1*","HTML | ASCII","e056513.cat","Apr. 2009",""
"056514","KOH","61","1*","HTML | ASCII","e056514.cat","Aug. 2009",""
"056515","CaO, v = 0, 1","140","1*","HTML | ASCII","e056515.cat","Feb. 2010",""
"056516","Fe","4","1*","HTML | ASCII","e056516.cat","Aug. 2010","w056516.cat"
"056517","Fe+","4","1*","HTML | ASCII","e056517.cat","Aug. 2010","w056517.cat"
"056518","SiH3CCH","765","1*","HTML | ASCII","e056518.cat","Sep. 2014",""
"056519","trans-C2H3CHO","11239","1*","HTML | ASCII","e056519.cat","Nov. 2015",""
"056520","H2NCH2CN, v11 + v18 = 1","23291","2*","HTML | ASCII","e056520.cat","Oct. 2020",""
"056521","H2NCH2CN, v17 = 1","10115","2*","HTML | ASCII","e056521.cat","Oct. 2020",""
"056522","NaSH","1432","1*","HTML | ASCII","e056522.cat","July 2018",""
"056523","c-H2C318O","1865","1*","HTML | ASCII","e056523.cat","Feb. 2021",""
"056524","c-D2C3O","2248","1*","HTML | ASCII","e056524.cat","Feb. 2021",""
"056525","MgS, v = 0, 1","90","1*","HTML | ASCII","e056525.cat","Feb. 2022",""
"056526","(CH3)2CCH2","67567","1*","HTML | ASCII","e056526.cat","Dec. 2023",""
"057501","CaOH","102","1*","HTML | ASCII","e057501.cat","Nov. 2013",""
"057502","HDNCH2CN","13446","1*","HTML | ASCII","e057502.cat","Dec. 2013",""
"057503","SiH3CN","1622","1*","HTML | ASCII","e057503.cat","Sep. 2014",""
"057504","PCN","270","1*","HTML | ASCII","e057504.cat","June 2015",""
"057505","CH3NCO, vb = 0","1146","1*","HTML | ASCII","e057505.cat","Mar. 2016",""
"057506","CH3NCO, vb = 1","123","1*","HTML | ASCII","e057506.cat","Mar. 2016",""
"057507","CH313CH213CN, v = 0","24440","1*","HTML | ASCII","e057507.cat","Apr. 2016",""
"057508","13CH3CH213CN, v = 0","24337","1*","HTML | ASCII","e057508.cat","Apr. 2016",""
"057509","13CH313CH2CN, v = 0","24770","1*","HTML | ASCII","e057509.cat","Apr. 2016",""
"057510","CH3CNO","1948","1*","HTML | ASCII","e057510.cat","Sep. 2016",""
"057511","CH3OCN","6648","2*","HTML | ASCII","e057511.cat","Aug. 2020",""
"057512","HOCH2CN","38530","1*","HTML | ASCII","e057512.cat","Mar. 2017",""
"057513","H2NCH213CN","3114","1*","HTML | ASCII","e057513.cat","Apr. 2017",""
"057514","H2N13CH2CN","3138","1*","HTML | ASCII","e057514.cat","Apr. 2017",""
"057515","HCCS","384","1*","HTML | ASCII","e057515.cat","Jan. 2018",""
"057516","MgSH","2820","1*","HTML | ASCII","e057516.cat","July 2018",""
"057517","HCCS+","220","1*","HTML | ASCII","e057517.cat","Dec. 2021",""
"057518","25MgS, v = 0","46","1*","HTML | ASCII","e057518.cat","Feb. 2022",""
"057519","E-1-C3H6NH","20110","1*","HTML | ASCII","e057519.cat","Aug. 2022",""
"057520","Z-1-C3H6NH","11178","1*","HTML | ASCII","e057520.cat","Aug. 2022",""
"057521","CH3C(NH)CH3","92897","1*","HTML | ASCII","e057521.cat","Nov. 2023",""
"058501","H2C2S","1567","2*","HTML | ASCII","e058501.cat","Oct. 2023",""
"058502","NaCl, v = 0 - 15","2325","2*","HTML | ASCII","e058502.cat","June 2019",""
"058503","KF, v = 0, 1","190","1","HTML | ASCII","e058503.cat","Feb. 2003",""
"058504","NCS","378","2*","HTML | ASCII","e058504.cat","May 2007",""
"058505","s-C2H5CHO, v = 0","41020","2*","HTML | ASCII","e058505.cat","Jan. 2018",""
"058506","41KOH","62","1*","HTML | ASCII","e058506.cat","Aug. 2009",""
"058507","CH3CP","2270","1*","HTML | ASCII","e058507.cat","Oct. 2009",""
"058508","D2NCH2CN","14167","1*","HTML | ASCII","e058508.cat","Dec. 2013",""
"058509","dibridged Si2H2","2244","1*","HTML | ASCII","e058509.cat","Apr. 2014",""
"058510","monobridged Si2H2","1109","1*","HTML | ASCII","e058510.cat","Apr. 2014",""
"058511","SiH313CN","1088","1*","HTML | ASCII","e058511.cat","Sep. 2014",""
"058512","29SiH3CN","1092","1*","HTML | ASCII","e058512.cat","Sep. 2014",""
"058513","cis-C2H2O2","9031","1*","HTML | ASCII","e058513.cat","Feb. 2016",""
"058514","H3CCHCH2O","4692","1*","HTML | ASCII","e058514.cat","June 2016",""
"058515","c-C3H6O","9444","1*","HTML | ASCII","e058515.cat","Oct. 2016",""
"058516","13CH313CH213CN","24771","1*","HTML | ASCII","e058516.cat","Apr. 2017",""
"058517","s-C2H5CHO, v24 = 1","20319","1*","HTML | ASCII","e058517.cat","Jan. 2018",""
"058518","s-C2H5CHO, v23 = 1","20309","1*","HTML | ASCII","e058518.cat","Jan. 2018",""
"058519","g-C2H5CHO, v = 0","19515","1*","HTML | ASCII","e058519.cat","Jan. 2018",""
"058520","HCCSH","1040","1*","HTML | ASCII","e058520.cat","May 2019",""
"058521","26MgS, v = 0","47","1*","HTML | ASCII","e058521.cat","Feb. 2022",""
"058522","Mg34S, v = 0","46","1*","HTML | ASCII","e058522.cat","Feb. 2022",""
"059501","MgCl","624","1","HTML | ASCII","e059501.cat","June 2000",""
"059502","CaF","234","1","HTML | ASCII","e059502.cat","Sep. 2001",""
"059503","HNCS, a-type","489","1*","HTML | ASCII","e059503.cat","Feb. 2005",""
"059504","HNCS, b-type","903","1*","HTML | ASCII","e059504.cat","Feb. 2005",""
"059505","HSCN","1838","1*","HTML | ASCII","e059505.cat","Nov 2009",""
"059506","C2Cl","556","1*","HTML | ASCII","e059506.cat","Sep. 2011",""
"059507","AlS","816","1*","HTML | ASCII","e059507.cat","Sep. 2012",""
"059508","30SiH3CN","1097","1*","HTML | ASCII","e059508.cat","Sep. 2014",""
"059509","H2PCN","2401","1*","HTML | ASCII","e059509.cat","June 2015",""
"059510","HCNS","24","1*","HTML | ASCII","e059510.cat","Aug. 2016",""
"059511","HSNC","23","1*","HTML | ASCII","e059511.cat","Aug. 2016",""
"059512","Na36Cl, v = 0 - 5","830","1*","HTML | ASCII","e059512.cat","June 2019",""
"059513","H2C13CS","185","1*","HTML | ASCII","e059513.cat","May 2022",""
"059514","H213CCS","196","1*","HTML | ASCII","e059514.cat","May 2022",""
"059515","HDC2S","91","1*","HTML | ASCII","e059515.cat","May 2022",""
"059516","13CH3C(O)CH3","120519","1*","HTML | ASCII","e059516.cat","Aug. 2022",""
"059517","HNSiO","12","1*","HTML | ASCII","e059517.cat","Feb. 2024",""
"060501","CH2(OH)CHO, v = 0","18021","3*","HTML | ASCII","e060501.cat","June. 2021",""
"060502","Na37Cl, v = 0 - 15","2364","2*","HTML | ASCII","e060502.cat","June 2019",""
"060503","OCS, v = 0","99","2*","HTML | ASCII","e060503.cat","Nov. 2005",""
"060504","OCS, v2 = 1","249","1*","HTML | ASCII","e060504.cat","Apr. 2005",""
"060505","Ga-n-C3H7OH","27121","2*","HTML | ASCII","e060505.cat","Jan. 2015",""
"060506","SiS, v = 0 - 20","3099","1*","HTML | ASCII","e060506.cat","Oct. 2019",""
"060507","SiS, v = 1 - 0 and v = 2 – 1 bands","557","1*","HTML | ASCII","e060507.cat","Feb. 2007","w060507.cat"
"060508","SiS, v = 2 - 0 band","249","1*","HTML | ASCII","e060508.cat","Feb. 2007","w060508.cat"
"060509","c-C2H4S","8863","1*","HTML | ASCII","e060509.cat","Sep. 2013",""
"060510","DNCS, a-type","486","1*","HTML | ASCII","e060510.cat","Aug. 2016",""
"060511","DNCS, b-type","231","1*","HTML | ASCII","e060511.cat","Aug. 2016",""
"060512","HN13CS, a-type","469","1*","HTML | ASCII","e060512.cat","Aug. 2016",""
"060513","H15NCS, a-type","485","1*","HTML | ASCII","e060513.cat","Aug. 2016",""
"060514","HS13CN","124","1*","HTML | ASCII","e060514.cat","Aug. 2016",""
"060515","DSCN","125","1*","HTML | ASCII","e060515.cat","Aug. 2016",""
"060516","HSC15N","27","1*","HTML | ASCII","e060516.cat","Aug. 2016",""
"060517","OC(NH2)2, v = 0","13426","2*","HTML | ASCII","e060517.cat","Jan. 2023",""
"060518","g-i-C3H7OH","60716","1*","HTML | ASCII","e060518.cat","Apr. 2018",""
"060519","a-i-C3H7OH","14152","1*","HTML | ASCII","e060519.cat","Apr. 2018",""
"060520","AlSH","1228","1*","HTML | ASCII","e060520.cat","July 2018",""
"060521","syn-C2H3SH","4787","1*","HTML | ASCII","e060521.cat","Apr. 2019",""
"060522","anti-C2H3SH","5109","1*","HTML | ASCII","e060522.cat","Apr. 2019",""
"060523","CH3COOH, vt = 0","73039","1*","HTML | ASCII","e060523.cat","May 2019",""
"060524","CH3COOH, vt = 1","74109","1*","HTML | ASCII","e060524.cat","May 2019",""
"060525","CH3COOH, vt = 2","76890","1*","HTML | ASCII","e060525.cat","May 2019",""
"060526","CH3COOH, Δvt ≠ 0","87669","1*","HTML | ASCII","e060526.cat","May 2019",""
"060527","44TiO, v = 0","178","1*","HTML | ASCII","e060527.cat","May 2021",""
"060528","44TiO, v = 1","85","1*","HTML | ASCII","e060528.cat","May 2021",""
"060529","CH2(OH)CHO, v18 = 1","12632","1*","HTML | ASCII","e060529.cat","June. 2021",""
"060530","CH2(OH)CHO, v12 = 1","11534","1*","HTML | ASCII","e060530.cat","June. 2021",""
"060531","CH2(OH)CHO, v17 = 1","10429","1*","HTML | ASCII","e060531.cat","June. 2021",""
"060532","H2CC34S","196","1*","HTML | ASCII","e060532.cat","May 2022",""
"060533","OC(NH2)2, v1","12929","1*","HTML | ASCII","e060533.cat","Jan. 2023",""
"060534","OC(NH2)2, v2 & v3","23798","1*","HTML | ASCII","e060534.cat","Jan. 2023",""
"060535","OC(NH2)2, v4 & v5","16035","1*","HTML | ASCII","e060535.cat","Jan. 2023",""
"060536","HPCO","12","1*","HTML | ASCII","e060536.cat","Feb. 2024",""
"061501","PNO","99","1","HTML | ASCII","e061501.cat","Aug. 2001",""
"061502","O13CS","99","1*","HTML | ASCII","e061502.cat","Apr. 2005",""
"061503","OC33S","98","1*","HTML | ASCII","e061503.cat","Apr. 2005",""
"061504","17OCS","99","1*","HTML | ASCII","e061504.cat","Apr. 2005",""
"061505","C5H","1130","2*","HTML | ASCII","e061505.cat","May 2015",""
"061506","29SiS, v = 0 - 12","1945","1*","HTML | ASCII","e061506.cat","Oct. 2019",""
"061507","29SiS, v = 1 - 0 band","264","1*","HTML | ASCII","e061507.cat","Feb. 2007","w061507.cat"
"061508","Si33S, v = 0 - 9","1517","1*","HTML | ASCII","e061508.cat","Nov. 2019",""
"061509","HSCO+","1272","2*","HTML | ASCII","e061509.cat","Jan. 2019",""
"061510","HOCS+","43","1*","HTML | ASCII","e061510.cat","Sep. 2011",""
"061511","C237Cl","563","1*","HTML | ASCII","e061511.cat","Sep. 2011",""
"061512","HSiS","4333","1*","HTML | ASCII","e061512.cat","Dec. 2012",""
"061513","CH2(OH)13CHO","22497","1*","HTML | ASCII","e061513.cat","Feb. 2013",""
"061514","13CH2(OH)CHO","22546","1*","HTML | ASCII","e061514.cat","Feb. 2013",""
"061515","CH3O13CHO, vt = 0, 1","49664","2*","HTML | ASCII","e061515.cat","May 2015",""
"061516","CH2(OD)CHO","17995","1*","HTML | ASCII","e061516.cat","Aug. 2015",""
"061517","CHD(OH)CHO","18383","1*","HTML | ASCII","e061517.cat","Aug. 2015",""
"061518","CH2(OH)CDO","18419","1*","HTML | ASCII","e061518.cat","Aug. 2015",""
"061519","HNC34S, a-type","423","1*","HTML | ASCII","e061519.cat","Aug. 2016",""
"061520","H34SCN","124","1*","HTML | ASCII","e061520.cat","Aug. 2016",""
"061521","ScO","70","1*","HTML | ASCII","e061521.cat","Oct. 2016",""
"061522","26AlCl v = 0 - 2","413","1*","HTML | ASCII","e061522.cat","July 2019",""
"061523","HC(S)NH2","6530","1*","HTML | ASCII","e061523.cat","Oct. 2020",""
"061524","c-C3CCH","221","1*","HTML | ASCII","e061524.cat","Jul. 2022",""
"061525","HC(O)OCH2D","58231","1*","HTML | ASCII","e061525.cat","Aug. 2022",""
"061526","DC(O)OCH3","40660","1*","HTML | ASCII","e061526.cat","Aug. 2022",""
"062501","l-C5H2","209","3*","HTML | ASCII","e062501.cat","Jun. 2021",""
"062502","TiN","399","1","HTML | ASCII","e062502.cat","July 2003",""
"062503","aGg'-(CH2OH)2","33126","1","HTML | ASCII","e062503.cat","Sep. 2003",""
"062504","gGg'-(CH2OH)2","38066","1","HTML | ASCII","e062504.cat","May 2004",""
"062505","OC34S","99","1*","HTML | ASCII","e062505.cat","Apr. 2005",""
"062506","18OCS","99","1*","HTML | ASCII","e062506.cat","Apr. 2005",""
"062507","O13C33S","98","1*","HTML | ASCII","e062507.cat","Apr. 2005",""
"062508","Si34S, v = 0 - 12","1958","1*","HTML | ASCII","e062508.cat","Oct. 2019",""
"062509","Si34S, v = 1 - 0 band","265","1*","HTML | ASCII","e062509.cat","Mar. 2007","w062509.cat"
"062510","30SiS, v = 0 - 12","1973","1*","HTML | ASCII","e062510.cat","Oct. 2019",""
"062511","30SiS, v = 1 - 0 band","266","1*","HTML | ASCII","e062511.cat","Mar. 2007","w062511.cat"
"062512","29Si33S","125","1*","HTML | ASCII","e062512.cat","Mar. 2007",""
"062513","H2SiS","1190","1*","HTML | ASCII","e062513.cat","Nov. 2012",""
"062514","C4N","392","1*","HTML | ASCII","e062514.cat","Mar. 2014",""
"062515","trans-HC(O)SH","7897","1*","HTML | ASCII","e062515.cat","Apr. 2014",""
"062516","cis-HC(O)SH","8974","1*","HTML | ASCII","e062516.cat","Apr. 2014",""
"062517","C413CH","1056","1*","HTML | ASCII","e062517.cat","May 2015",""
"062518","C313CCH","1034","1*","HTML | ASCII","e062518.cat","May 2015",""
"062519","C213CC2H","1030","1*","HTML | ASCII","e062519.cat","May 2015",""
"062520","C13CC3H","1034","1*","HTML | ASCII","e062520.cat","May 2015",""
"062521","13CC4H","1066","1*","HTML | ASCII","e062521.cat","May 2015",""
"062522","C5D","571","1*","HTML | ASCII","e062522.cat","May 2015",""
"062523","gauche-C2H5SH","30859","1*","HTML | ASCII","e062523.cat","Sep. 2015",""
"062524","anti-C2H5SH","10244","1*","HTML | ASCII","e062524.cat","Sep. 2015",""
"062525","DSCO+","1112","1*","HTML | ASCII","e062525.cat","Jan. 2019",""
"062526","AlCl v = 0 - 10","1399","1*","HTML | ASCII","e062526.cat","July 2019",""
"062527","CH3OCH2OH","21945","1*","HTML | ASCII","e062527.cat","Aug. 2020",""
"062528","46TiO, v = 0","179","1*","HTML | ASCII","e062528.cat","Mar. 2021",""
"062529","46TiO, v = 1","86","1*","HTML | ASCII","e062529.cat","Mar. 2021",""
"062530","46TiO, v = 2","87","1*","HTML | ASCII","e062530.cat","Mar. 2021",""
"062531","46TiO, v = 3","87","1*","HTML | ASCII","e062531.cat","Mar. 2021",""
"062532","c-C3HCCH","383","1*","HTML | ASCII","e062532.cat","May 2021",""
"062533","HC(O)OCHD2","35919","1*","HTML | ASCII","e062533.cat","Aug. 2022",""
"063501","l-HC4N","319","2","HTML | ASCII","e063501.cat","Dec. 2004",""
"063502","O13C34S","99","1*","HTML | ASCII","e063502.cat","Apr. 2005",""
"063503","18O13CS","99","1*","HTML | ASCII","e063503.cat","Apr. 2005",""
"063504","29Si34S, v = 0, 1","254","1*","HTML | ASCII","e063504.cat","Mar. 2007",""
"063505","30Si33S","126","1*","HTML | ASCII","e063505.cat","Mar. 2007",""
"063506","c-C3HCN","7150","1*","HTML | ASCII","e063506.cat","Sep. 2011",""
"063507","26Al37Cl v = 0 - 2","418","1*","HTML | ASCII","e063507.cat","July 2019",""
"063508","Al36Cl v = 0 - 2","422","1*","HTML | ASCII","e063508.cat","July 2019",""
"063509","47TiO, v = 0","1757","1*","HTML | ASCII","e063509.cat","Jan. 2022",""
"063510","47TiO, v = 1","892","1*","HTML | ASCII","e063510.cat","Jan. 2022",""
"063511","47TiO, v = 2","576","1*","HTML | ASCII","e063511.cat","Jan. 2022",""
"063512","47TiO, v = 3","572","1*","HTML | ASCII","e063512.cat","Jan. 2022",""
"063513","SiCl+, v = 0, 1","58","1*","HTML | ASCII","e063513.cat","Sep. 2023",""
"063514","HNSO","1560","1*","HTML | ASCII","e063514.cat","Jan. 2024",""
"064501","p-c-SiC3","1973","2*","HTML | ASCII","e064501.cat","Jan. 2019",""
"064502","SO2, v = 0","14754","2*","HTML | ASCII","e064502.cat","July 2005","w064502.cat"
"064503","SO2, v2 = 1","9808","2*","HTML | ASCII","e064503.cat","July 2005","w064503.cat"
"064504","TiO, v = 0","182","4*","HTML | ASCII","e064504.cat","Mar. 2021",""
"064505","l-SiC3","408","1","HTML | ASCII","e064505.cat","Nov. 2000",""
"064506","CuH","22","1","HTML | ASCII","e064506.cat","Feb. 2002","w064506.cat"
"064507","CH3C4H","2026","2*","HTML | ASCII","e064507.cat","Aug. 2008",""
"064508","ScF","80","1","HTML | ASCII","e064508.cat","Mar. 2003",""
"064509","H2C4N","594","1*","HTML | ASCII","e064509.cat","Mar. 2005",""
"064510","OC36S","99","1*","HTML | ASCII","e064510.cat","Apr. 2005",""
"064511","18OC34S","99","1*","HTML | ASCII","e064511.cat","Apr. 2005",""
"064512","SO2, ν2","7603","1*","HTML | ASCII","e064512.cat","July 2005","w064512.cat"
"064513","30Si34S, v = 0, 1","258","1*","HTML | ASCII","e064513.cat","Mar. 2007",""
"064514","Si36S","126","1*","HTML | ASCII","e064514.cat","Mar. 2007",""
"064515","KCCH","115","1*","HTML | ASCII","e064515.cat","Oct. 2011",""
"064516","o-c-SiC3","435","1*","HTML | ASCII","e064516.cat","May 2014",""
"064517","gauche-C2H534SH","23196","1*","HTML | ASCII","e064517.cat","Sep. 2015",""
"064518","CrC","261","1*","HTML | ASCII","e064518.cat","May 2016",""
"064519","Al37Cl v = 0 - 10","1426","1*","HTML | ASCII","e064519.cat","July 2019",""
"064520","H2C(CCH)2","2792","1*","HTML | ASCII","e064520.cat","Feb. 2021",""
"064521","TiO, v = 1","182","1*","HTML | ASCII","e064521.cat","Mar. 2021",""
"064522","TiO, v = 2","88","1*","HTML | ASCII","e064522.cat","Mar. 2021",""
"064523","TiO, v = 3","88","1*","HTML | ASCII","e064523.cat","Mar. 2021",""
"064524","TiO, v = 4","89","1*","HTML | ASCII","e064524.cat","Mar. 2021",""
"064525","TiO, v = 5","89","1*","HTML | ASCII","e064525.cat","Mar. 2021",""
"064526","H2C3HCCH","785","1*","HTML | ASCII","e064526.cat","Jun. 2021",""
"064527","HC3HCN","4481","1*","HTML | ASCII","e064527.cat","Dec. 2021",""
"065501","33SO2","19067","1","HTML | ASCII","e065501.cat","Dec. 1999",""
"065502","SO17O","7476","1*","HTML | ASCII","e065502.cat","Apr. 2007",""
"065503","CH3C3N","1813","1","HTML | ASCII","e065503.cat","Apr. 2004",""
"065504","ZnH","168","1","HTML | ASCII","e065504.cat","Feb. 2002","w065504.cat"
"065505","CH3CCNC","1438","1*","HTML | ASCII","e065505.cat","Oct. 2005",""
"065506","H2CCCHCN","11550","1*","HTML | ASCII","e065506.cat","Mar. 2006",""
"065507","29Si36S","120","1*","HTML | ASCII","e065507.cat","Mar. 2007",""
"065508","KCN, KNC","3363","1*","HTML | ASCII","e065508.cat","Apr. 2007",""
"065509","HS2","8575","1*","HTML | ASCII","e065509.cat","July 2008",""
"065510","cis-HOSO+","4618","1*","HTML | ASCII","e065510.cat","Sep. 2011",""
"065511","CaCCH","198","1*","HTML | ASCII","e065511.cat","Oct. 2011",""
"065512","SiC3H","568","1*","HTML | ASCII","e065512.cat","Dec. 2014",""
"065513","HC4O","182","1*","HTML | ASCII","e065513.cat","Aug. 2017",""
"065514","HCCCH2CN","32493","2*","HTML | ASCII","e065514.cat","Sep. 2020",""
"065515","49TiO, v = 0","2514","1*","HTML | ASCII","e065515.cat","Jan. 2022",""
"065516","49TiO, v = 1","833","1*","HTML | ASCII","e065516.cat","Jan. 2022",""
"065517","49TiO, v = 2","816","1*","HTML | ASCII","e065517.cat","Jan. 2022",""
"065518","49TiO, v = 3","810","1*","HTML | ASCII","e065518.cat","Jan. 2022",""
"066501","34SO2","11896","1","HTML | ASCII","e066501.cat","Dec. 1999","w066501.cat"
"066502","SO18O","13970","2*","HTML | ASCII","e066502.cat","Nov. 2023",""
"066503","CaNC","1005","1","HTML | ASCII","e066503.cat","Mar. 2000",""
"066504","65CuH","22","1","HTML | ASCII","e066504.cat","Feb. 2002","w066504.cat"
"066505","30Si36S","121","1*","HTML | ASCII","e066505.cat","Mar. 2007",""
"066506","H2C(CN)2","13537","1*","HTML | ASCII","e066506.cat","Apr. 2013",""
"066507","H2S2","2168","1*","HTML | ASCII","e066507.cat","Dec. 2014",""
"066508","SiC2N","896","1*","HTML | ASCII","e066508.cat","Dec. 2014",""
"066509","H2C4O","725","1*","HTML | ASCII","e066509.cat","Jan. 2018",""
"066510","DS2","5119","1*","HTML | ASCII","e066510.cat","Feb. 2018",""
"066511","52CrN","150","1*","HTML | ASCII","e066511.cat","Mar. 2019",""
"066512","50TiO, v = 0","184","1*","HTML | ASCII","e066512.cat","Apr. 2021",""
"066513","50TiO, v = 1","88","1*","HTML | ASCII","e066513.cat","Apr. 2021",""
"066514","50TiO, v = 2","88","1*","HTML | ASCII","e066514.cat","Apr. 2021",""
"066515","50TiO, v = 3","89","1*","HTML | ASCII","e066515.cat","Apr. 2021",""
"066516","Ti18O, v = 0","199","1*","HTML | ASCII","e066516.cat","Apr. 2021",""
"066517","Ti18O, v = 1","96","1*","HTML | ASCII","e066517.cat","Apr. 2021",""
"066518","Ti18O, v = 2","96","1*","HTML | ASCII","e066518.cat","Apr. 2021",""
"066519","Ti18O, v = 3","97","1*","HTML | ASCII","e066519.cat","Apr. 2021",""
"066520","c-C5H6","11466","1*","HTML | ASCII","e066520.cat","May 2021",""
"066521","CH2DC3N","520","1*","HTML | ASCII","e066521.cat","Jun. 2021",""
"066522","H2NC3N","2912","1*","HTML | ASCII","e066522.cat","Jan. 2024",""
"066523","H2C3Si","616","1*","HTML | ASCII","e066523.cat","Feb. 2024",""
"067501","66ZnH","168","1","HTML | ASCII","e067501.cat","Feb. 2002","w067501.cat"
"067502","NCHCCO","14690","2*","HTML | ASCII","e067502.cat","June 2020",""
"067503","c-C3H5CN","24752","1*","HTML | ASCII","e067503.cat","July 2011",""
"067504","c-C4H4NH","13110","1*","HTML | ASCII","e067504.cat","Jun. 2014",""
"067505","HCCNSi","52","1*","HTML | ASCII","e067505.cat","July 2015",""
"067506","48TiF","676","1*","HTML | ASCII","e067506.cat","Apr. 2019",""
"067507","c-C5H6-13C1","525","1*","HTML | ASCII","e067507.cat","Dec. 2021",""
"067508","c-C5H6-13C2","976","1*","HTML | ASCII","e067508.cat","Dec. 2021",""
"067509","c-C5H6-13C5","471","1*","HTML | ASCII","e067509.cat","Dec. 2021",""
"067510","c-C5H6-D1","1509","1*","HTML | ASCII","e067510.cat","Dec. 2021",""
"067511","c-C5H6-D2","1563","1*","HTML | ASCII","e067511.cat","Dec. 2021",""
"067512","c-C5H6-D5","748","1*","HTML | ASCII","e067512.cat","Dec. 2021",""
"067513","E-CH3CHCHCN","5211","1*","HTML | ASCII","e067513.cat","Jan. 2024",""
"067514","s-CH2CHCH2CN","19919","1*","HTML | ASCII","e067514.cat","Jan. 2024",""
"067515","g-CH2CHCH2CN","12717","1*","HTML | ASCII","e067515.cat","Jan. 2024",""
"068501","FeC","131","1","HTML | ASCII","e068501.cat","Aug. 2000",""
"068502","HC3P","199","1","HTML | ASCII","e068502.cat","Oct. 2000",""
"068503","C3S, v = 0","170","2*","HTML | ASCII","e068503.cat","Jun. 2013",""
"068504","C3O2, ν7","201","1*","HTML | ASCII","e068504.cat","Dec. 2005",""
"068505","C3S, v5 = 1","328","1*","HTML | ASCII","e068505.cat","Jun. 2013",""
"068506","H2CNCH2CN","19653","1*","HTML | ASCII","e068506.cat","Nov. 2013",""
"068507","c-C4H4O","10551","1*","HTML | ASCII","e068507.cat","Jun. 2014",""
"068508","Si2C, v = 0","1664","1*","HTML | ASCII","e068508.cat","June 2015",""
"068509","NCNSi","52","1*","HTML | ASCII","e068509.cat","July 2015",""
"068510","52CrO","300","1*","HTML | ASCII","e068510.cat","Mar. 2019",""
"068511","NCCNO","126","1*","HTML | ASCII","e068511.cat","Oct. 2021",""
"068512","HNC(CH3)CN","33995","1*","HTML | ASCII","e068512.cat","Sep. 2022",""
"069501","NC2P","199","1","HTML | ASCII","e069501.cat","Oct. 2000",""
"069502","C13CCS","146","2*","HTML | ASCII","e069502.cat","June 2013",""
"069503","13CCCS","148","2*","HTML | ASCII","e069503.cat","June 2013",""
"069504","68ZnH","168","1","HTML | ASCII","e069504.cat","Feb. 2002","w069504.cat"
"069505","n-C3H7CN, v = 0","65227","3*","HTML | ASCII","e069505.cat","Dec. 2016",""
"069506","i-C3H7CN","41106","1*","HTML | ASCII","e069506.cat","Feb. 2011",""
