"Tag","Name","# lines","Ver.","Date of entry"
"042517","H2CSi","294","1*","Sep. 2017"
"042518","H2NNC","1144","1*","Oct. 2018"
"042519","DCCO","48","1*","June 2019"
"042520","26AlO v = 0","124","1*","Jan. 2020"
"042521","26AlO v = 1, 2","260","1*","Jan. 2020"
"042522","CH313C13CH","462","1*","Apr. 2020"
"042523","13CH3C13CH","483","1*","Apr. 2020"
"042524","13CH313CCH","462","1*","Apr. 2020"
"042525","CH3C13CD","1277","1*","Apr. 2020"
"042526","CH313CCD","1243","1*","Apr. 2020"
"042527","13CH3CCD","1278","1*","Apr. 2020"
"042528","CH2DC13CH","2044","1*","Apr. 2020"
"042529","CH2D13CCH","1988","1*","Apr. 2020"
"042530","13CH2DCCH","2031","1*","Apr. 2020"
"042531","CH2DCCD","486","1*","Jun. 2021"
"042532","CHD2CCH","485","1*","Jun. 2021"
"042533","26MgO, v = 0, 1","42","1*","Feb. 2022"
"043501","CP","345","1","Mar. 2000"
"043502","c-C2H4NH","13631","1*","Apr. 2007"
"043503","MgF","210","1","June 2000"
"043504","C2H3NH2, within 0+ & 0-","6659","2*","Sep. 2005"
"043505","H2C13CO","1259","1","Nov. 2003"
"043506","H213CCO","1280","1","Nov. 2003"
"043507","HDCCO","1346","2*","Jan. 2006"
"043508","C2H3NH2, 0- ← 0+","11654","1*","Sep. 2005"
"043509","HCNO","90","1*","Jan. 2009"
"043510","HOCN","1041","1*","May 2009"
"043511","HNCO","1653","1*","May 2009"
"043512","HONC","22","1*","Nov 2009"
"043513","13CH313CN","1351","1*","Dec. 2009"
"043514","CHD2CN","6991","2*","July 2013"
"043515","H2N13CN","2634","2*","Mar. 2019"
"043516","HNSi","45","1*","Apr. 2014"
"043517","HDNCN","5390","1*","Jan. 2018"
"043518","H215NCN","1862","1*","Mar. 2019"
"043519","H2NC15N","1866","1*","Mar. 2019"
"043520","AlO v = 0","124","1*","Dec. 2019"
"043521","AlO v = 1, 2","265","1*","Dec. 2019"
"043522","AlO v = 3 - 5","359","1*","Dec. 2019"
"044501","CS, v = 0 - 4","495","2*","Oct. 2008"
"044502","HCP, v = 0","65","2*","June 2007"
"044503","HCP, v2 = 1","80","1","Feb. 2000"
"044504","c-C2H4O","15797","3*","Mar 2022"
"044505","SiO, v = 0 - 10","1190","2*","Jan. 2014"
"044506","s-H2C=CHOH","3293","2*","Sep. 2019"
"044507","a-H2C=CHOH","3477","2*","Sep. 2019"
"044508","H2CC18O","1151","1","Nov. 2003"
"044509","D2CCO","1545","2*","Jan. 2006"
"044510","CS, v = 1 - 0 and v = 2 – 1 bands","395","1*","Sep. 2006"
"044511","CS, v = 2 - 0 band","198","1*","Sep. 2006"
"044512","CS+","115","1*","July 2008"
"044513","DCNO","90","1*","Jan. 2009"
"044514","H13CNO","87","1*","Jan. 2009"
"044515","HC15NO","85","1*","Jan. 2009"
"044516","H2NCO+","813","1*","Nov. 2013"
"044517","H2CSiH2","967","1*","Sep. 2017"
"044518","Al17O v = 0","74","1*","Dec. 2019"
"044519","Al17O v = 1, 2","150","1*","Dec. 2019"
"044520","CD3CN","1719","1*","July 2020"
"045501","13CS, v = 0, 1","198","2","Jan. 2004"
"045502","C33S, v = 0, 1","198","2","Jan. 2004"
"045503","DCP","65","1","Feb. 2000"
"045504","29SiO, v = 0 - 6","746","2*","Jan. 2014"
"045505","H2CP","4473","1","Aug. 2001"
"045506","HCS+","67","1","June 2003"
"045507","HCS","274","1","Aug. 2003"
"045508","HSC","3968","1","Aug. 2003"
"045509","13CS, v = 1 - 0 band","198","1*","Sep. 2006"
"045510","H13CP","62","1*","June 2007"
"045511","PN v = 0 - 5","474","2*","Sep. 2019"
"045512","HC(O)NH2, v = 0","14593","2*","Apr. 2013"
"045513","c-C13CH4O","7210","2*","Mar. 2022"
"045514","HSiO","2254","1*","Dec. 2012"
"045515","C2H5NH2","3857","1*","Jan. 2013"
"045516","HC(O)NH2, v12 = 1","9657","1*","Apr. 2013"
"045517","trans-HOCO","11750","1*","Oct. 2013"
"045518","cis-HOCO","639","1*","Oct. 2013"
"045519","Si17O, v = 0 - 4","550","1*","Jan. 2014"
"045520","HON2+","376","1*","June 2016"
"045521","HN2O+","10","1*","June 2016"
"045522","HOCO+","954","1*","July 2017"
"045523","26AlF v = 0 - 2","270","1*","Jan. 2019"
"045524","CH3CDO, vt = 0, 1","8763","1*","Apr. 2019"
"045525","CH2DCHO, vt = 0","7410","1*","Apr. 2019"
"045526","Al18O v = 0","132","1*","Dec. 2019"
"045527","Al18O v = 1, 2","282","1*","Dec. 2019"
"045528","CH313CHO, vt ≤ 1","28026","1*","July 2020"
"045529","13CH3CHO, vt ≤ 1","28789","1*","July 2020"
"045530","H2CNOH","4761","1*","May 2021"
"045531","c-C2H3DO","24052","1*","Sep 2022"
"045532","CH3NHCH3","22999","1*","Jun 2023"
"046501","C34S, v = 0, 1","198","2","Jan. 2004"
"046502","30SiO, v = 0 - 6","751","2*","Jan. 2014"
"046503","Si18O, v = 0 - 5","686","2*","Jan. 2014"
"046504","H13CS+","63","1","June 2003"
"046505","DCS+","67","1","June 2003"
"046506","t-HCOOH","10317","1","July 2003"
"046507","c-HCOOH","12834","1","July 2003"
"046508","13C33S","75","1","Apr. 2004"
"046509","H2CS","2505","3*","Jan. 2019"
"046510","C34S, v = 1 - 0 band","198","1*","Sep. 2006"
"046511","P15N v = 0 - 1","137","2*","Sep. 2019"
"046512","H13C(O)NH2","9423","2*","Apr. 2013"
"046513","HC(O)15NH2","6591","1*","May 2009"
"046514","CH3OCH3, v = 0","45654","1*","Nov. 2011"
"046515","NS, v = 0","728","1*","Aug. 2011"
"046516","NS, v = 1","556","1*","Aug. 2011"
"046517","NS, v = 1 - 0 band","376","1*","Aug. 2011"
"046518","c-C2H418O","5518","2*","Mar. 2022"
"046519","H2SiO","679","1*","Nov. 2012"
"046520","DC(O)NH2","10014","1*","Apr. 2013"
"046521","cis-HC(O)NHD","9372","1*","Apr. 2013"
"046522","trans-HC(O)NHD","8506","1*","Apr. 2013"
"046523","29Si17O, v = 0 - 2","317","1*","Feb. 2014"
"046524","C2H5OH","69527","1*","Nov. 2016"
"046525","DOCO+","946","1*","July 2017"
"046526","HO13CO+","923","1*","July 2017"
"046527","NS+","39","1*","Feb. 2018"
"046528","AlF v = 0 - 5","473","1*","Jan. 2019"
"046529","DSC","1829","1*","Nov. 2022"
"046530","HS13C","1797","1*","Nov. 2022"
"046531","DCS","177","1*","Dec. 2022"
"046532","H13CS","68","1*","Dec. 2022"
"046533","2,2-c-CD2CH2O","23566","1*","Apr 2023"
"046534","CHD2CHO, vt = 0","8679","1*","Sep. 2023"
"046535","H2CS v4 = 1","1320","1*","Oct. 2023"
"046536","H2CS v6 = 1","1211","1*","Oct. 2023"
"046537","H2CS v3 = 1","1213","1*","Oct. 2023"
"046538","H2CS v2 = 1","917","1*","Oct. 2023"
"046539","H2CS ν4 IR band","5221","1*","Oct. 2023"
"046540","H2CS ν6 IR band","5033","1*","Oct. 2023"
"046541","H2CS ν3 IR band","3203","1*","Oct. 2023"
"046542","H2CS ν2 IR band","1794","1*","Oct. 2023"
"047501","13C34S","75","2","Jan. 2004"
"047502","HC34S+","62","1","June 2003"
"047503","t-H13COOH","6834","1","July 2003"
"047504","HDCS","1820","2*","Jan. 2019"
"047505","H213CS","1975","2*","Jan. 2019"
"047506","H2C33S","7117","2*","Jan. 2019"
"047507","PO, v = 0","659","2*","Oct. 2019"
"047508","HC(18O)NH2","6666","1*","May 2009"
"047509","N33S","1860","1*","Aug. 2011"
"047510","15NS","364","1*","Aug. 2011"
"047511","a-CH313CH2OH","2556","1*","Aug. 2012"
"047512","a-13CH3CH2OH","2558","1*","Aug. 2012"
"047513","29Si18O, v = 0 - 3","442","1*","Jan. 2014"
"047514","30Si17O, v = 0 - 2","318","1*","Feb. 2014"
"047515","a-CH3CH2OD","3088","1*","Aug. 2015"
"047516","a-CH3CHDOH","3090","1*","Aug. 2015"
"047517","a-a-CH2DCH2OH","3114","1*","Aug. 2015"
"047518","a-s-CH2DCH2OH","3095","1*","Aug. 2015"
"047519","PO, v = 1, 2","920","2*","Oct. 2019"
"047520","PO, v = 3-5","1514","2*","Oct. 2019"
"047521","CH3ONH2","5122","1*","Sep. 2020"
"047522","13CH3OCH3","22377","1*","Sep. 2022"
"047523","CCl+, v = 0","94","1*","Jun. 2023"
"047524","SiF+, v = 0, 1","62","1*","Aug. 2023"
"047525","SiF+, v = 1 - 0, 2 – 1","219","1*","Aug. 2023"
