"Tag","Name","# lines","Ver.","Date of entry"
"055520","Allylimine-Ta","13438","1*","Oct. 2023"
"056501","HCCP","1738","1","May 1998"
"056502","CCS","449","1","Nov. 2001"
"056503","ONCN","1911","1","Aug. 2003"
"056504","C2H513CN, v = 0","23807","2*","Feb. 2013"
"056505","CH313CH2CN, v = 0","24132","2*","Feb. 2013"
"056506","13CH3CH2CN, v = 0","24102","2*","Feb. 2013"
"056507","H2NCH2CN, v = 0","16925","3*","Oct. 2020"
"056508","C2H5C15N","16405","1*","Feb. 2009"
"056509","CH3CHDCN","16939","1*","Feb. 2009"
"056510","CH2DipCH2CN","16566","1*","Feb. 2009"
"056511","CH2DoopCH2CN","16915","1*","Feb. 2009"
"056512","13CCP","1830","1*","Apr. 2009"
"056513","C13CP","1923","1*","Apr. 2009"
"056514","KOH","61","1*","Aug. 2009"
"056515","CaO, v = 0, 1","140","1*","Feb. 2010"
"056516","Fe","4","1*","Aug. 2010"
"056517","Fe+","4","1*","Aug. 2010"
"056518","SiH3CCH","765","1*","Sep. 2014"
"056519","trans-C2H3CHO","11239","1*","Nov. 2015"
"056520","H2NCH2CN, v11 + v18 = 1","23291","2*","Oct. 2020"
"056521","H2NCH2CN, v17 = 1","10115","2*","Oct. 2020"
"056522","NaSH","1432","1*","July 2018"
"056523","c-H2C318O","1865","1*","Feb. 2021"
"056524","c-D2C3O","2248","1*","Feb. 2021"
"056525","MgS, v = 0, 1","90","1*","Feb. 2022"
"056526","(CH3)2CCH2","67567","1*","Dec. 2023"
"057501","CaOH","102","1*","Nov. 2013"
"057502","HDNCH2CN","13446","1*","Dec. 2013"
"057503","SiH3CN","1622","1*","Sep. 2014"
"057504","PCN","270","1*","June 2015"
"057505","CH3NCO, vb = 0","1146","1*","Mar. 2016"
"057506","CH3NCO, vb = 1","123","1*","Mar. 2016"
"057507","CH313CH213CN, v = 0","24440","1*","Apr. 2016"
"057508","13CH3CH213CN, v = 0","24337","1*","Apr. 2016"
"057509","13CH313CH2CN, v = 0","24770","1*","Apr. 2016"
"057510","CH3CNO","1948","1*","Sep. 2016"
"057511","CH3OCN","6648","2*","Aug. 2020"
"057512","HOCH2CN","38530","1*","Mar. 2017"
"057513","H2NCH213CN","3114","1*","Apr. 2017"
"057514","H2N13CH2CN","3138","1*","Apr. 2017"
"057515","HCCS","384","1*","Jan. 2018"
"057516","MgSH","2820","1*","July 2018"
"057517","HCCS+","220","1*","Dec. 2021"
"057518","25MgS, v = 0","46","1*","Feb. 2022"
"057519","E-1-C3H6NH","20110","1*","Aug. 2022"
"057520","Z-1-C3H6NH","11178","1*","Aug. 2022"
"057521","CH3C(NH)CH3","92897","1*","Nov. 2023"
"058501","H2C2S","1567","2*","Oct. 2023"
"058502","NaCl, v = 0 - 15","2325","2*","June 2019"
"058503","KF, v = 0, 1","190","1","Feb. 2003"
"058504","NCS","378","2*","May 2007"
"058505","s-C2H5CHO, v = 0","41020","2*","Jan. 2018"
"058506","41KOH","62","1*","Aug. 2009"
"058507","CH3CP","2270","1*","Oct. 2009"
"058508","D2NCH2CN","14167","1*","Dec. 2013"
"058509","dibridged Si2H2","2244","1*","Apr. 2014"
"058510","monobridged Si2H2","1109","1*","Apr. 2014"
"058511","SiH313CN","1088","1*","Sep. 2014"
"058512","29SiH3CN","1092","1*","Sep. 2014"
"058513","cis-C2H2O2","9031","1*","Feb. 2016"
"058514","H3CCHCH2O","4692","1*","June 2016"
"058515","c-C3H6O","9444","1*","Oct. 2016"
"058516","13CH313CH213CN","24771","1*","Apr. 2017"
"058517","s-C2H5CHO, v24 = 1","20319","1*","Jan. 2018"
"058518","s-C2H5CHO, v23 = 1","20309","1*","Jan. 2018"
"058519","g-C2H5CHO, v = 0","19515","1*","Jan. 2018"
"058520","HCCSH","1040","1*","May 2019"
"058521","26MgS, v = 0","47","1*","Feb. 2022"
"058522","Mg34S, v = 0","46","1*","Feb. 2022"
"059501","MgCl","624","1","June 2000"
"059502","CaF","234","1","Sep. 2001"
"059503","HNCS, a-type","489","1*","Feb. 2005"
"059504","HNCS, b-type","903","1*","Feb. 2005"
"059505","HSCN","1838","1*","Nov 2009"
"059506","C2Cl","556","1*","Sep. 2011"
"059507","AlS","816","1*","Sep. 2012"
"059508","30SiH3CN","1097","1*","Sep. 2014"
"059509","H2PCN","2401","1*","June 2015"
"059510","HCNS","24","1*","Aug. 2016"
"059511","HSNC","23","1*","Aug. 2016"
"059512","Na36Cl, v = 0 - 5","830","1*","June 2019"
"059513","H2C13CS","185","1*","May 2022"
"059514","H213CCS","196","1*","May 2022"
"059515","HDC2S","91","1*","May 2022"
"059516","13CH3C(O)CH3","120519","1*","Aug. 2022"
"060501","CH2(OH)CHO, v = 0","18021","3*","June. 2021"
"060502","Na37Cl, v = 0 - 15","2364","2*","June 2019"
"060503","OCS, v = 0","99","2*","Nov. 2005"
"060504","OCS, v2 = 1","249","1*","Apr. 2005"
"060505","Ga-n-C3H7OH","27121","2*","Jan. 2015"
"060506","SiS, v = 0 - 20","3099","1*","Oct. 2019"
"060507","SiS, v = 1 - 0 and v = 2 – 1 bands","557","1*","Feb. 2007"
"060508","SiS, v = 2 - 0 band","249","1*","Feb. 2007"
"060509","c-C2H4S","8863","1*","Sep. 2013"
"060510","DNCS, a-type","486","1*","Aug. 2016"
"060511","DNCS, b-type","231","1*","Aug. 2016"
"060512","HN13CS, a-type","469","1*","Aug. 2016"
"060513","H15NCS, a-type","485","1*","Aug. 2016"
"060514","HS13CN","124","1*","Aug. 2016"
"060515","DSCN","125","1*","Aug. 2016"
"060516","HSC15N","27","1*","Aug. 2016"
"060517","OC(NH2)2, v = 0","13426","2*","Jan. 2023"
"060518","g-i-C3H7OH","60716","1*","Apr. 2018"
"060519","a-i-C3H7OH","14152","1*","Apr. 2018"
"060520","AlSH","1228","1*","July 2018"
"060521","syn-C2H3SH","4787","1*","Apr. 2019"
"060522","anti-C2H3SH","5109","1*","Apr. 2019"
"060523","CH3COOH, vt = 0","73039","1*","May 2019"
"060524","CH3COOH, vt = 1","74109","1*","May 2019"
"060525","CH3COOH, vt = 2","76890","1*","May 2019"
"060526","CH3COOH, Δvt ≠ 0","87669","1*","May 2019"
"060527","44TiO, v = 0","178","1*","May 2021"
"060528","44TiO, v = 1","85","1*","May 2021"
"060529","CH2(OH)CHO, v18 = 1","12632","1*","June. 2021"
"060530","CH2(OH)CHO, v12 = 1","11534","1*","June. 2021"
"060531","CH2(OH)CHO, v17 = 1","10429","1*","June. 2021"
"060532","H2CC34S","196","1*","May 2022"
"060533","OC(NH2)2, v1","12929","1*","Jan. 2023"
"060534","OC(NH2)2, v2 & v3","23798","1*","Jan. 2023"
"060535","OC(NH2)2, v4 & v5","16035","1*","Jan. 2023"
"061501","PNO","99","1","Aug. 2001"
"061502","O13CS","99","1*","Apr. 2005"
"061503","OC33S","98","1*","Apr. 2005"
"061504","17OCS","99","1*","Apr. 2005"
"061505","C5H","1130","2*","May 2015"
"061506","29SiS, v = 0 - 12","1945","1*","Oct. 2019"
"061507","29SiS, v = 1 - 0 band","264","1*","Feb. 2007"
"061508","Si33S, v = 0 - 9","1517","1*","Nov. 2019"
"061509","HSCO+","1272","2*","Jan. 2019"
"061510","HOCS+","43","1*","Sep. 2011"
"061511","C237Cl","563","1*","Sep. 2011"
"061512","HSiS","4333","1*","Dec. 2012"
"061513","CH2(OH)13CHO","22497","1*","Feb. 2013"
"061514","13CH2(OH)CHO","22546","1*","Feb. 2013"
"061515","CH3O13CHO, vt = 0, 1","49664","2*","May 2015"
"061516","CH2(OD)CHO","17995","1*","Aug. 2015"
"061517","CHD(OH)CHO","18383","1*","Aug. 2015"
"061518","CH2(OH)CDO","18419","1*","Aug. 2015"
"061519","HNC34S, a-type","423","1*","Aug. 2016"
"061520","H34SCN","124","1*","Aug. 2016"
"061521","ScO","70","1*","Oct. 2016"
"061522","26AlCl v = 0 - 2","413","1*","July 2019"
"061523","HC(S)NH2","6530","1*","Oct. 2020"
"061524","c-C3CCH","221","1*","Jul. 2022"
"061525","HC(O)OCH2D","58231","1*","Aug. 2022"
"061526","DC(O)OCH3","40660","1*","Aug. 2022"
"062501","l-C5H2","209","3*","Jun. 2021"
"062502","TiN","399","1","July 2003"
"062503","aGg'-(CH2OH)2","33126","1","Sep. 2003"
"062504","gGg'-(CH2OH)2","38066","1","May 2004"
"062505","OC34S","99","1*","Apr. 2005"
"062506","18OCS","99","1*","Apr. 2005"
"062507","O13C33S","98","1*","Apr. 2005"
"062508","Si34S, v = 0 - 12","1958","1*","Oct. 2019"
"062509","Si34S, v = 1 - 0 band","265","1*","Mar. 2007"
"062510","30SiS, v = 0 - 12","1973","1*","Oct. 2019"
"062511","30SiS, v = 1 - 0 band","266","1*","Mar. 2007"
"062512","29Si33S","125","1*","Mar. 2007"
"062513","H2SiS","1190","1*","Nov. 2012"
"062514","C4N","392","1*","Mar. 2014"
"062515","trans-HC(O)SH","7897","1*","Apr. 2014"
"062516","cis-HC(O)SH","8974","1*","Apr. 2014"
"062517","C413CH","1056","1*","May 2015"
"062518","C313CCH","1034","1*","May 2015"
"062519","C213CC2H","1030","1*","May 2015"
"062520","C13CC3H","1034","1*","May 2015"
"062521","13CC4H","1066","1*","May 2015"
"062522","C5D","571","1*","May 2015"
"062523","gauche-C2H5SH","30859","1*","Sep. 2015"
"062524","anti-C2H5SH","10244","1*","Sep. 2015"
"062525","DSCO+","1112","1*","Jan. 2019"
"062526","AlCl v = 0 - 10","1399","1*","July 2019"
"062527","CH3OCH2OH","21945","1*","Aug. 2020"
"062528","46TiO, v = 0","179","1*","Mar. 2021"
"062529","46TiO, v = 1","86","1*","Mar. 2021"
"062530","46TiO, v = 2","87","1*","Mar. 2021"
"062531","46TiO, v = 3","87","1*","Mar. 2021"
"062532","c-C3HCCH","383","1*","May 2021"
"062533","HC(O)OCHD2","35919","1*","Aug. 2022"
"063501","l-HC4N","319","2","Dec. 2004"
"063502","O13C34S","99","1*","Apr. 2005"
"063503","18O13CS","99","1*","Apr. 2005"
"063504","29Si34S, v = 0, 1","254","1*","Mar. 2007"
"063505","30Si33S","126","1*","Mar. 2007"
"063506","c-C3HCN","7150","1*","Sep. 2011"
"063507","26Al37Cl v = 0 - 2","418","1*","July 2019"
"063508","Al36Cl v = 0 - 2","422","1*","July 2019"
"063509","47TiO, v = 0","1757","1*","Jan. 2022"
"063510","47TiO, v = 1","892","1*","Jan. 2022"
"063511","47TiO, v = 2","576","1*","Jan. 2022"
"063512","47TiO, v = 3","572","1*","Jan. 2022"
"063513","SiCl+, v = 0, 1","58","1*","Sep. 2023"
"063514","HNSO","1560","1*","Jan. 2024"
"064501","p-c-SiC3","1973","2*","Jan. 2019"
"064502","SO2, v = 0","14754","2*","July 2005"
"064503","SO2, v2 = 1","9808","2*","July 2005"
"064504","TiO, v = 0","182","4*","Mar. 2021"
"064505","l-SiC3","408","1","Nov. 2000"
"064506","CuH","22","1","Feb. 2002"
"064507","CH3C4H","2026","2*","Aug. 2008"
"064508","ScF","80","1","Mar. 2003"
"064509","H2C4N","594","1*","Mar. 2005"
"064510","OC36S","99","1*","Apr. 2005"
"064511","18OC34S","99","1*","Apr. 2005"
"064512","SO2, ν2","7603","1*","July 2005"
"064513","30Si34S, v = 0, 1","258","1*","Mar. 2007"
"064514","Si36S","126","1*","Mar. 2007"
"064515","KCCH","115","1*","Oct. 2011"
"064516","o-c-SiC3","435","1*","May 2014"
"064517","gauche-C2H534SH","23196","1*","Sep. 2015"
"064518","CrC","261","1*","May 2016"
"064519","Al37Cl v = 0 - 10","1426","1*","July 2019"
"064520","H2C(CCH)2","2792","1*","Feb. 2021"
"064521","TiO, v = 1","182","1*","Mar. 2021"
"064522","TiO, v = 2","88","1*","Mar. 2021"
"064523","TiO, v = 3","88","1*","Mar. 2021"
"064524","TiO, v = 4","89","1*","Mar. 2021"
"064525","TiO, v = 5","89","1*","Mar. 2021"
"064526","H2C3HCCH","785","1*","Jun. 2021"
"064527","HC3HCN","4481","1*","Dec. 2021"
"065501","33SO2","19067","1","Dec. 1999"
"065502","SO17O","7476","1*","Apr. 2007"
"065503","CH3C3N","1813","1","Apr. 2004"
"065504","ZnH","168","1","Feb. 2002"
"065505","CH3CCNC","1438","1*","Oct. 2005"
"065506","H2CCCHCN","11550","1*","Mar. 2006"
"065507","29Si36S","120","1*","Mar. 2007"
"065508","KCN, KNC","3363","1*","Apr. 2007"
"065509","HS2","8575","1*","July 2008"
"065510","cis-HOSO+","4618","1*","Sep. 2011"
"065511","CaCCH","198","1*","Oct. 2011"
"065512","SiC3H","568","1*","Dec. 2014"
"065513","HC4O","182","1*","Aug. 2017"
"065514","HCCCH2CN","32493","2*","Sep. 2020"
"065515","49TiO, v = 0","2514","1*","Jan. 2022"
"065516","49TiO, v = 1","833","1*","Jan. 2022"
"065517","49TiO, v = 2","816","1*","Jan. 2022"
"065518","49TiO, v = 3","810","1*","Jan. 2022"
"066501","34SO2","11896","1","Dec. 1999"
"066502","SO18O","13970","2*","Nov. 2023"
"066503","CaNC","1005","1","Mar. 2000"
"066504","65CuH","22","1","Feb. 2002"
"066505","30Si36S","121","1*","Mar. 2007"
"066506","H2C(CN)2","13537","1*","Apr. 2013"
"066507","H2S2","2168","1*","Dec. 2014"
"066508","SiC2N","896","1*","Dec. 2014"
"066509","H2C4O","725","1*","Jan. 2018"
"066510","DS2","5119","1*","Feb. 2018"
"066511","52CrN","150","1*","Mar. 2019"
"066512","50TiO, v = 0","184","1*","Apr. 2021"
"066513","50TiO, v = 1","88","1*","Apr. 2021"
"066514","50TiO, v = 2","88","1*","Apr. 2021"
"066515","50TiO, v = 3","89","1*","Apr. 2021"
"066516","Ti18O, v = 0","199","1*","Apr. 2021"
"066517","Ti18O, v = 1","96","1*","Apr. 2021"
"066518","Ti18O, v = 2","96","1*","Apr. 2021"
"066519","Ti18O, v = 3","97","1*","Apr. 2021"
"066520","c-C5H6","11466","1*","May 2021"
"066521","CH2DC3N","520","1*","Jun. 2021"
"066522","H2NC3N","2912","1*","Jan. 2024"
"067501","66ZnH","168","1","Feb. 2002"
"067502","NCHCCO","14690","2*","June 2020"
"067503","c-C3H5CN","24752","1*","July 2011"
"067504","c-C4H4NH","13110","1*","Jun. 2014"
"067505","HCCNSi","52","1*","July 2015"
"067506","48TiF","676","1*","Apr. 2019"
"067507","c-C5H6-13C1","525","1*","Dec. 2021"
"067508","c-C5H6-13C2","976","1*","Dec. 2021"
"067509","c-C5H6-13C5","471","1*","Dec. 2021"
"067510","c-C5H6-D1","1509","1*","Dec. 2021"
"067511","c-C5H6-D2","1563","1*","Dec. 2021"
"067512","c-C5H6-D5","748","1*","Dec. 2021"
"067513","E-CH3CHCHCN","5211","1*","Jan. 2024"
"067514","s-CH2CHCH2CN","19919","1*","Jan. 2024"
"067515","g-CH2CHCH2CN","12717","1*","Jan. 2024"
"068501","FeC","131","1","Aug. 2000"
"068502","HC3P","199","1","Oct. 2000"
"068503","C3S, v = 0","170","2*","Jun. 2013"
"068504","C3O2, ν7","201","1*","Dec. 2005"
"068505","C3S, v5 = 1","328","1*","Jun. 2013"
"068506","H2CNCH2CN","19653","1*","Nov. 2013"
"068507","c-C4H4O","10551","1*","Jun. 2014"
"068508","Si2C, v = 0","1664","1*","June 2015"
"068509","NCNSi","52","1*","July 2015"
"068510","52CrO","300","1*","Mar. 2019"
"068511","NCCNO","126","1*","Oct. 2021"
"068512","HNC(CH3)CN","33995","1*","Sep. 2022"
"069501","NC2P","199","1","Oct. 2000"
"069502","C13CCS","146","2*","June 2013"
"069503","13CCCS","148","2*","June 2013"
"069504","68ZnH","168","1","Feb. 2002"
"069505","n-C3H7CN, v = 0","65227","3*","Dec. 2016"
"069506","i-C3H7CN","41106","1*","Feb. 2011"
"069507","CC13CS","145","1*","June 2013"
"069508","g-n-C3H7CN, v30 = 1","28384","1*","Dec. 2016"
"069509","a-n-C3H7CN, v30 = 1","13591","1*","Dec. 2016"
"069510","g-n-C3H7CN, v29 = 1","26157","1*","Dec. 2016"
"069511","a-n-C3H7CN, v18 = 1","12311","1*","Dec. 2016"
"069512","g-n-C3H7CN, v30 = 2","24425","1*","Dec. 2016"
"069513","a-n-C3H7CN, v30 = 2","12268","1*","Dec. 2016"
"069514","g-n-C3H7CN, v28 = 1","23515","1*","Dec. 2016"
"069515","a-n-C3H7CN, v29 = 1","7405","1*","Dec. 2016"
"069516","i-C3H7CN, v30 = 1","6375","1*","Apr. 2017"
"069517","HC3S","578","1*","Jan. 2018"
"069518","c-C2H3(O)CN","37134","1*","Nov. 2018"
"069519","HC3S+","50","1*","Feb. 2021"
"069520","t-C2H3NCO","6876","1*","Oct. 2022"
"069521","cis-C2H3NCO","5279","1*","Oct. 2022"
"070501","NiC","40","1","Mar. 2004"
"070502","C334S","147","2*","June 2013"
"070503","H2C3S","613","2*","May 2022"
"070504","NCC(O)NH2","27956","1*","June 2006"
"070505","CH3CH(NH2)CN","29783","1*","Feb. 2012"
"070506","C13C13CS","136","1*","June 2013"
"070507","13CC13CS","138","1*","June 2013"
"070508","i-C3H713CN","11471","2*","July 2018"
"070509","(CH3)213CHCN","11464","2*","July 2018"
"070510","13CH3(CH3)CHCN","11604","2*","July 2018"
"070511","HC2CHS","14144","2*","Jun. 2021"
"070512","56FeN","50","1*","Mar. 2019"
"070513","NH2CH2CH2CN, conf. I","42874","1*","Apr. 2020"
"070514","NH2CH2CH2CN, conf. II","43558","1*","Apr. 2020"
"070601","54FeO Ω = 4","56","1*","Feb. 2019"
"070602","54FeO Ω = 3","58","1*","Feb. 2019"
"070603","54FeO Ω = 2","60","1*","Feb. 2019"
"071501","CoC","811","1","Mar. 2004"
"071502","C3Cl","779","1*","Sep. 2011"
"071503","CC13C34S","137","1*","June 2013"
"071504","C13CC34S","138","1*","June 2013"
"071505","13CCC34S","140","1*","June 2013"
"071506","KS","320","1*","Aug. 2018"
"071507","52CrF","291","1*","Mar. 2019"
"071508","C2H5NCO","3539","1*","Aug. 2020"
"071509","HC(S)CN","754","1*","Jul. 2021"
"071510","syn-C2H3C(O)NH2, v = 0","35388","1*","Apr. 2022"
"071511","syn-C2H3C(O)NH2, v24 = 1","29414","1*","Apr. 2022"
"071512","H2C213CS","303","1*","May 2022"
"071513","H2C13CCS","303","1*","May 2022"
"071514","H213CC2S","322","1*","June 2022"
"071515","HDC3S","372","1*","June 2022"
"072501","CaS, v = 0, 1","222","1*","Feb. 2010"
"072502","s-cis-H2C=CHCOOH","23836","2*","Dec. 2021"
"072503","s-trans-H2C=CHCOOH","23452","2*","Dec. 2021"
"072504","HOCHCHCHO","36726","1*","Feb. 2016"
"072505","C2H3OCHO","18997","1*","Jan. 2017"
"072506","KSH","1936","1*","July 2018"
"072507","H2C334S","321","1*","June 2022"
"072508","H2C=C(OH)CHO","25075","1*","Oct. 2022"
"072601","FeO Ω = 4","56","1*","Feb. 2019"
"072602","FeO Ω = 3","58","1*","Feb. 2019"
"072603","FeO Ω = 2","60","1*","Feb. 2019"
"073501","C6H, v = 0","426","2*","Dec. 2023"
"073502","C6H-","160","1*","Nov. 2006"
"073503","HSCH2CN","7762","1*","May 2016"
"073504","CaSH","3082","1*","July 2018"
"073505","MgC4H","216","1*","Oct. 2019"
"073506","HC(34S)CN","91","1*","Jul. 2021"
"073507","MgC4H+","69","1*","Apr. 2023"
"073508","NaC3N","75","1*","Jun. 2023"
"073509","C6H, v11 = 1 μ2Σ","215","1*","Dec. 2023"
"073510","C6H, v11 = 1 2Δ","420","1*","Dec. 2023"
"074501","C5N","1054","1","Jan. 2000"
"074502","l-C6H2","88","2","May  2002"
"074503","aa-(C2H5)2O","21876","2*","Aug. 2009"
"074504","NiO","341","1","Mar. 2004"
"074505","39K35Cl, v = 0 - 15","4850","2*","Apr. 2019"
"074506","13CC5H","1566","1*","Dec. 2005"
"074507","C13CC4H","1565","1*","Dec. 2005"
"074508","C213CC3H","1575","1*","Dec. 2005"
"074509","C313CC2H","1575","1*","Dec. 2005"
"074510","C413CCH","1571","1*","Dec. 2005"
"074511","C513CH","1577","1*","Dec. 2005"
"074512","C6D","746","1*","Dec. 2005"
"074513","C5N-","191","1*","Oct. 2008"
"074514","C2H5OCHO","52546","1*","Apr. 2009"
"074515","ag-(C2H5)2O","37450","1*","Aug. 2009"
"074516","CHOCOOH","24075","1*","Feb. 2011"
"074517","CH3OCH2CHO","21882","1*","Nov. 2018"
"074518","MgC3N","216","1*","Oct. 2019"
"074519","CH3CHOHCHO","46745","1*","Oct. 2019"
"074520","H2NCH2C(O)NH2","60120","1*","Jan. 2022"
"074521","HC2HC4","801","1*","Dec. 2022"
"074522","MgC3N+","41","1*","Apr. 2023"
"075501","HC4NC","71","2*","Oct. 2020"
"075502","CaCl","1131","1","Sep. 2001"
"075503","HC5N, v = 0","199","2*","Aug. 2020"
"075504","HC5N, v11 = 1","222","1*","Feb. 2023"
"075505","HC5N, v11 = 2","293","1*","Feb. 2023"
"075506","HC5N, v10 = 1","222","1*","Feb. 2023"
"075507","HC5N, v11 = 3","388","1*","Feb. 2023"
"075508","HC5N, v11 = 4","483","1*","Feb. 2023"
"075509","HC5N, v9 = 1","222","1*","Feb. 2023"
"075510","HC5N, ν7","595","1*","Feb. 2023"
"075511","H2NCH2COOH, I","15303","1*","Apr. 2006"
"075512","H2NCH2COOH, II","16850","1*","Apr. 2006"
"075513","HC5N, v10 = v11 = 1","444","1*","Feb. 2023"
"075514","HC5N, v11 = 5","571","1*","Feb. 2023"
"075515","40K35Cl, v = 0 - 5","1700","1*","May 2019"
"075516","39K36Cl, v = 0 - 5","1701","1*","May 2019"
"075517","HOCH2C(O)NH2","33692","1*","Dec. 2020"
"075518","g'Gg'-CH3CH(NH2)CH2OH","28459","1*","Oct. 2022"
"075519","gG'g-CH3CH(NH2)CH2OH","26221","1*","Oct. 2022"
"075520","HMgC3N","45","1*","Jun. 2023"
"076501","NC3NC","279","1","Oct. 1999"
"076502","SiC4","99","1","Nov. 2000"
"076503","c-C6H4","11750","1","Feb. 2004"
"076504","39K37Cl, v = 0 - 15","4942","2*","May 2019"
"076505","41K35Cl, v = 0 - 15","4924","2*","May 2019"
"076506","DC5N","199","1","Aug. 2004"
"076507","H13CC4N","99","1","Oct. 2004"
"076508","HC13CC3N","99","1","Oct. 2004"
"076509","HC213CC2N","99","1","Oct. 2004"
"076510","HC313CCN","99","1","Oct. 2004"
"076511","HC413CN","99","1","Oct. 2004"
"076512","HC515N","99","1","Oct. 2004"
"076513","aG'g-CH3CHOHCH2OH","72846","2*","Aug. 2014"
"076514","CH2OHCOOH","20745","1*","Feb. 2011"
"076515","gG'a-CH3CHOHCH2OH","64243","2*","Aug. 2014"
"076516","g'G'g-CH3CHOHCH2OH","76050","2*","Aug. 2014"
"076517","OSiS","99","1*","July 2011"
"076518","a'GG'g-CH2OHCH2CH2OH","83046","1*","Mar. 2014"
"076519","gGG'g-CH2OHCH2CH2OH","80684","1*","Mar. 2014"
"076520","g'Ga-CH3CHOHCH2OH","68580","1*","May 2017"
"076521","gG'g'-CH3CHOHCH2OH","80005","1*","May 2017"
"076522","aGg'-CH3CHOHCH2OH","85574","1*","May 2017"
"076523","g'Gg-CH3CHOHCH2OH","80906","1*","May 2017"
"076524","HC5NH+","45","1*","Oct. 2020"
"077501","29SiC4","99","1*","Aug. 2005"
"077502","Si13CC3","99","1*","Aug. 2005"
"077503","SiC13CC2","99","1*","Aug. 2005"
"077504","SiC213CC","99","1*","Aug. 2005"
"077505","SiC313C","99","1*","Aug. 2005"
"077506","C2H3C3N","4547","1*","Sep. 2011"
"077507","(E)-HC2CHCHCN","3839","1*","Sep. 2011"
"077508","(Z)-HC2CHCHCN","12544","1*","Sep. 2011"
"077509","ScS","1735","1*","Sep. 2012"
"077510","AlC3N","196","1*","Oct. 2014"
"077511","SiC4H","1140","1*","Dec. 2014"
"077512","HC5O","886","1*","Aug. 2017"
"077513","40K37Cl, v = 0 - 5","1725","1*","May 2019"
"077514","41K36Cl, v = 0 - 5","1722","1*","May 2019"
"077515","NC4NH+","46","1*","Dec. 2022"
"078501","30SiC4","99","1*","Aug. 2005"
"078502","46TiO2","3007","2*","June 2011"
"078503","46TiS","246","1*","Nov. 2010"
"078504","SiC3N","1772","1*","Dec. 2014"
"078505","HC4CHO","316","1*","Feb. 2018"
"078506","trans-HC(S)SH","3373","1*","Apr. 2018"
"078507","cis-HC(S)SH","6929","1*","Apr. 2018"
"078508","41K37Cl, v = 0 - 15","5010","1*","May 2019"
"078509","c-C5H4CH2","946","1*","Nov. 2021"
"078510","c-C5H5CH","235","1*","Nov. 2021"
"078511","bc-C4H4C2H2","1102","1*","Nov. 2021"
"078512","c-C4H2(CH2)2","3906","1*","Nov. 2021"
"079501","c-C5H5N","21737","1*","Jun. 2014"
"079502","Z-CH2(CH)3CN","56409","1*","Aug. 2021"
"079503","E-CH2(CH)3CN","25554","1*","Aug. 2021"
"079504","anti-CH2CCHCH2CN","42031","1*","Sep. 2021"
"079505","syn-CH2CCHCH2CN","53396","1*","Sep. 2021"
"080501","C4S","366","1","Nov. 2001"
"080502","ScCl","85","1","Apr. 2003"
"080503","S2O, v = 0","11853","1*","Aug. 2006"
"080504","TiO2","3422","2*","June 2011"
"080505","TiS","261","1*","Nov. 2010"
"080506","OC(CN)2","27046","1*","Aug. 2016"
"080507","c-C5H4O","2533","1*","Nov. 2021"
"080508","1,3-c-C6H8","720","1*","Dec. 2021"
"081501","HC4S","244","2*","Nov. 2022"
"082501","Sc37Cl","76","1","Apr. 2003"
"082502","50TiO2","3032","2*","June 2011"
"082503","50TiS","252","1*","Nov. 2010"
"082504","H2C4S","124","1*","Mar. 2018"
"083501","AA-n-C4H9CN","37069","1*","Mar. 2012"
"083502","GA-n-C4H9CN","47885","1*","Mar. 2012"
"083503","AG-n-C4H9CN","14427","1*","Mar. 2012"
"083504","t-C4H9CN","6086","1*","Apr. 2016"
"083505","C2H5CHCNCH3","74064","1*","Sep. 2017"
"083506","a-(CH3)2CHCH2CN","48126","1*","Aug. 2018"
"083507","g-(CH3)2CHCH2CN","36915","1*","Aug. 2018"
"084501","FeCO","313","1","Mar. 2004"
"084502","OC3S","175","1*","Oct. 2013"
"084503","c-C4H4O2","46011","1*","Oct. 2016"
"085501","C7H","1246","1","July 2000"
"086501","l-C7H2","295","2","May  2002"
"086502","NiCO","99","1","Mar. 2004"
"087501","l-HC6N","424","1","Dec. 2004"
"087502","52CrCl","638","1*","Mar. 2019"
"088501","SiC5","401","1","Nov. 2000"
"088502","CH3C6H","1413","1","Sep. 2002"
"088503","H2C3HC4H","1172","1*","Jul. 2022"
"088504","H2C5HC2H","173","1*","Jul. 2022"
"089501","CH3C5N","5599","1","Sep. 2002"
"089502","CH3CHNH2COOH, I","42319","1*","Oct. 2008"
"089503","CH3CHNH2COOH, II","31176","1*","Oct. 2008"
"089504","HC6O","1162","1*","Aug. 2017"
"089505","52Cr37Cl","525","1*","Mar. 2019"
"089506","H2C3HC3N","845","1*","Jul. 2022"
"090501","CHOCHOHCH2OH","21300","1*","May 2014"
"090502","c-C5H4C2H2","3777","2*","Jul. 2022"
"092501","C5S","231","1*","Feb. 2015"
"092502","G'Gg'gg'-CH2(OH)CH(OH)CH2OH","9018","1*","Apr. 2017"
"092503","GGag'g'-CH2(OH)CH(OH)CH2OH","9755","1*","Apr. 2017"
"092504","bc-C6H6CH2","4103","1*","Nov. 2021"
"092505","c-C6H6CH2","3368","1*","Nov. 2021"
"092506","c-C5H4C2H4","2668","1*","Nov. 2021"
"093501","13CC4S","234","1*","Feb. 2015"
"093502","C13CC3S","234","1*","Feb. 2015"
"093503","C213CC2S","231","1*","Feb. 2015"
"093504","C313CCS","231","1*","Feb. 2015"
